# image_x_px,image_y_px
1003,738
956,709
908,680
862,653
815,625
787,608
772,591
760,570
757,550
765,531
783,517
808,505
834,493
854,478
866,459
870,440
867,417
856,389
843,357
831,325
823,296
824,272
831,249
844,232
862,219
884,210
910,205
938,207
964,213
990,222
1010,234
1025,252
1035,273
1041,297
1039,321
1033,348
1027,379
1019,413
1011,447
1008,475
1009,500
1014,527
1025,553
1041,577
1062,597
1086,612
1114,622
1142,627
1168,625
1192,617
1212,604
1229,587
1237,568
1236,549
1227,528
1210,506
1190,484
1177,465
1171,446
1175,429
1186,414
1209,396
1233,379
1253,363
1267,345
1276,325
1276,304
1272,284
1271,269
1276,250
1285,235
1298,222
1315,216
1333,214
1352,220
1369,233
1382,250
1392,267
1396,286
1397,330
1398,390
1398,450
1398,510
1398,570
1399,630
1399,687
1399,710
1395,730
1383,748
1362,771
1339,795
1315,820
1293,842
1273,858
1254,866
1237,867
1219,862
1190,846
1152,823
1114,800
1077,779
1039,758
