# x_m, y_m, w_tr_right_m, w_tr_left_m
27.3912,-7.4658,1.8387,3.1067
27.5807,-7.5762,1.8429,3.1077
27.8832,-7.7524,1.8494,3.1096
28.1856,-7.9287,1.8542,3.1131
28.1961,-7.9348,1.8544,3.1132
28.4877,-8.1054,1.8576,3.1184
28.7897,-8.2823,1.8597,3.1250
29.0915,-8.4596,1.8606,3.1327
29.3931,-8.6371,1.8602,3.1417
29.6947,-8.8147,1.8591,3.1516
29.9962,-8.9924,1.8573,3.1621
30.2977,-9.1702,1.8547,3.1732
30.5992,-9.3479,1.8518,3.1848
30.6560,-9.3813,1.8512,3.1869
30.9008,-9.5255,1.8486,3.1965
31.2024,-9.7031,1.8452,3.2083
31.5041,-9.8805,1.8418,3.2202
31.8058,-10.0579,1.8383,3.2321
32.1076,-10.2353,1.8349,3.2440
32.4093,-10.4126,1.8317,3.2557
32.7111,-10.5899,1.8328,3.2579
33.0128,-10.7673,1.8446,3.2572
33.1159,-10.8278,1.8487,3.2568
33.3146,-10.9446,1.8567,3.2562
33.6163,-11.1220,1.8690,3.2549
33.9180,-11.2994,1.8815,3.2535
34.2197,-11.4768,1.8942,3.2520
34.5214,-11.6542,1.9071,3.2502
34.8231,-11.8316,1.9201,3.2482
35.1248,-12.0091,1.9333,3.2461
35.4265,-12.1865,1.9467,3.2439
35.5757,-12.2743,1.9533,3.2427
35.7282,-12.3639,1.9602,3.2414
36.0299,-12.5414,1.9738,3.2389
36.3316,-12.7188,1.9876,3.2362
36.6333,-12.8962,2.0015,3.2334
36.9350,-13.0736,2.0154,3.2305
37.2367,-13.2510,2.0295,3.2275
37.5384,-13.4284,2.0437,3.2244
37.8401,-13.6058,2.0566,3.2204
38.0356,-13.7208,2.0610,3.2174
38.1418,-13.7832,2.0634,3.2154
38.4435,-13.9606,2.0593,3.2078
38.7452,-14.1380,2.0516,3.2001
39.0469,-14.3154,2.0441,3.1923
39.3486,-14.4929,2.0368,3.1843
39.6503,-14.6703,2.0297,3.1760
39.9520,-14.8477,2.0229,3.1674
40.2537,-15.0251,2.0165,3.1586
40.4955,-15.1672,2.0116,3.1511
40.5554,-15.2025,2.0105,3.1492
40.8572,-15.3799,2.0048,3.1394
41.1589,-15.5573,1.9997,3.1293
41.4606,-15.7347,1.9953,3.1184
41.7623,-15.9121,1.9913,3.1071
42.0640,-16.0895,1.9879,3.0952
42.3657,-16.2670,1.9855,3.0825
42.6674,-16.4444,1.9836,3.0691
42.9554,-16.6137,1.9825,3.0557
42.9691,-16.6218,1.9825,3.0550
43.2708,-16.7992,1.9823,3.0401
43.5725,-16.9766,1.9823,3.0364
43.8742,-17.1540,1.9828,3.0353
44.1759,-17.3314,1.9839,3.0342
44.4776,-17.5089,1.9861,3.0321
44.7793,-17.6863,1.9888,3.0295
45.0810,-17.8637,1.9919,3.0264
45.3827,-18.0411,1.9957,3.0226
45.4152,-18.0602,1.9961,3.0222
45.6844,-18.2185,2.0000,3.0185
45.9862,-18.3958,2.0045,3.0140
46.2879,-18.5732,2.0094,3.0091
46.5897,-18.7506,2.0145,3.0041
46.8914,-18.9280,2.0197,2.9989
47.1931,-19.1054,2.0249,2.9936
47.4947,-19.2829,2.0302,2.9884
47.7964,-19.4603,2.0354,2.9832
47.8751,-19.5067,2.0367,2.9818
48.0980,-19.6378,2.0404,2.9781
48.3995,-19.8153,2.0451,2.9733
48.7011,-19.9928,2.0496,2.9687
49.0027,-20.1703,2.0539,2.9644
49.3044,-20.3478,2.0578,2.9604
49.6061,-20.5252,2.0615,2.9567
49.9079,-20.7025,2.0651,2.9531
50.2098,-20.8797,2.0687,2.9496
50.3350,-20.9531,2.0701,2.9481
50.5119,-21.0569,2.0722,2.9461
50.8141,-21.2339,2.0757,2.9425
51.1163,-21.4110,2.0792,2.9390
51.4184,-21.5881,2.0827,2.9355
51.7204,-21.7653,2.0860,2.9322
52.0221,-21.9428,2.0891,2.9291
52.3234,-22.1204,2.0920,2.9261
52.6243,-22.2984,2.0946,2.9235
52.7949,-22.3996,2.0959,2.9222
52.9247,-22.4768,2.0969,2.9211
53.2246,-22.6555,2.0990,2.9190
53.5245,-22.8342,2.1016,2.9165
53.8246,-23.0128,2.1048,2.9135
54.1252,-23.1910,2.1091,2.9094
54.4268,-23.3685,2.1150,2.9036
54.7297,-23.5450,2.1186,2.8963
55.0341,-23.7205,2.1230,2.8869
55.2547,-23.8461,2.1274,2.8793
55.3405,-23.8945,2.1294,2.8761
55.6490,-24.0666,2.1371,2.8638
55.9599,-24.2354,2.1470,2.8491
56.2732,-24.3998,2.1601,2.8332
56.5891,-24.5585,2.1768,2.8142
56.9077,-24.7101,2.1962,2.7918
57.2291,-24.8535,2.2209,2.7674
57.5535,-24.9873,2.2519,2.7380
57.8808,-25.1103,2.2890,2.7056
58.2114,-25.2212,2.3316,2.6685
58.5452,-25.3188,2.3845,2.6263
58.8632,-25.3974,2.4458,2.5827
58.8825,-25.4017,2.4495,2.5799
59.2232,-25.4691,2.5270,2.5243
59.5670,-25.5214,2.6051,2.4812
59.9136,-25.5592,2.6873,2.4376
60.2626,-25.5831,2.7725,2.4202
60.6137,-25.5937,2.8565,2.4005
60.9664,-25.5918,2.9308,2.3786
61.3205,-25.5779,2.9997,2.3628
61.6755,-25.5527,3.0590,2.3537
62.0067,-25.5196,3.0988,2.3537
62.0311,-25.5168,3.1019,2.3543
62.3867,-25.4705,3.1431,2.3554
62.7408,-25.4127,3.1825,2.3503
63.0917,-25.3421,3.2093,2.3501
63.4379,-25.2573,3.2370,2.3531
63.7776,-25.1570,3.2671,2.3601
64.1092,-25.0399,3.3017,2.3661
64.4311,-24.9046,3.3381,2.3659
64.7417,-24.7499,3.3829,2.3583
65.0393,-24.5743,3.4423,2.3462
65.0797,-24.5481,3.4536,2.3439
65.3226,-24.3772,3.5171,2.3230
65.5931,-24.1608,3.5987,2.2922
65.8533,-23.9289,3.6870,2.2500
66.1055,-23.6850,3.7753,2.2011
66.3521,-23.4327,3.8561,2.1507
66.5955,-23.1757,3.9224,2.0996
66.8383,-22.9176,3.9753,2.0138
67.0727,-22.6722,4.0134,1.9423
67.0826,-22.6620,4.0148,1.9398
67.3305,-22.4116,4.0410,1.8858
67.5817,-22.1663,4.0619,1.8501
67.8356,-21.9249,4.0739,1.8288
68.0915,-21.6866,4.0819,1.8190
68.3488,-21.4503,4.0828,1.8171
68.6068,-21.2151,4.0806,1.8200
68.8649,-20.9801,4.0759,1.8255
69.0657,-20.7963,4.0701,1.8310
69.1224,-20.7442,4.0686,1.8323
69.3790,-20.5069,4.0614,1.8400
69.6347,-20.2683,4.0540,1.8478
69.8897,-20.0286,4.0457,1.8560
70.1442,-19.7882,4.0368,1.8653
70.3984,-19.5473,4.0273,1.8754
70.6524,-19.3061,4.0169,1.8863
70.9064,-19.0649,4.0053,1.8983
71.0587,-18.9205,3.9981,1.9063
71.1606,-18.8240,3.9928,1.9118
71.4150,-18.5834,3.9791,1.9263
71.6697,-18.3431,3.9642,1.9403
71.9245,-18.1031,3.9515,1.9497
72.1795,-17.8633,3.9418,1.9525
72.4345,-17.6238,3.9402,1.9538
72.6896,-17.3843,3.9384,1.9554
72.9447,-17.1449,3.9364,1.9572
73.0517,-17.0446,3.9355,1.9580
73.1998,-16.9056,3.9342,1.9592
73.4549,-16.6662,3.9319,1.9612
73.7098,-16.4268,3.9297,1.9632
73.9648,-16.1872,3.9274,1.9652
74.2196,-15.9474,3.9253,1.9671
74.4744,-15.7074,3.9234,1.9687
74.7291,-15.4670,3.9218,1.9702
74.9838,-15.2263,3.9204,1.9713
75.0447,-15.1687,3.9201,1.9715
75.2384,-14.9852,3.9194,1.9721
75.4930,-14.7439,3.9189,1.9709
75.7475,-14.5027,3.9201,1.9678
76.0022,-14.2617,3.9237,1.9630
76.2570,-14.0214,3.9279,1.9587
76.5119,-13.7820,3.9314,1.9551
76.7671,-13.5436,3.9339,1.9525
77.0226,-13.3068,3.9351,1.9512
77.0377,-13.2928,3.9352,1.9511
77.2784,-13.0715,3.9350,1.9513
77.5345,-12.8376,3.9336,1.9528
77.7908,-12.6048,3.9313,1.9553
78.0473,-12.3728,3.9281,1.9585
78.3040,-12.1412,3.9244,1.9623
78.5607,-11.9096,3.9204,1.9663
78.8175,-11.6778,3.9165,1.9703
79.0743,-11.4455,3.9126,1.9735
79.3310,-11.2122,3.9024,1.9759
79.5876,-10.9777,3.8850,1.9773
79.8441,-10.7416,3.8613,1.9781
80.1003,-10.5037,3.8382,1.9781
80.3563,-10.2635,3.8158,1.9772
80.6119,-10.0208,3.7943,1.9760
80.8672,-9.7752,3.7731,1.9737
81.1221,-9.5264,3.7526,1.9704
81.3764,-9.2740,3.7332,1.9667
81.6303,-9.0178,3.7146,1.9622
81.7339,-8.9119,3.7067,1.9599
81.8836,-8.7574,3.6959,1.9567
82.1352,-8.4926,3.6784,1.9497
82.3835,-8.2233,3.6632,1.9491
82.6266,-7.9493,3.6515,1.9493
82.8630,-7.6707,3.6421,1.9490
83.0907,-7.3871,3.6330,1.9477
83.3081,-7.0986,3.6251,1.9468
83.5135,-6.8050,3.6189,1.9453
83.7051,-6.5062,3.6127,1.9444
83.8811,-6.2021,3.5980,1.9458
84.0399,-5.8925,3.5736,1.9534
84.1796,-5.5775,3.5340,1.9730
84.2986,-5.2567,3.4630,1.9894
84.3951,-4.9302,3.3849,1.9973
84.4674,-4.5978,3.3158,2.0010
84.4677,-4.5959,3.3155,2.0010
84.5146,-4.2596,3.2613,1.9932
84.5397,-3.9163,3.2219,1.9775
84.5466,-3.5688,3.1997,1.9535
84.5393,-3.2180,3.1974,1.9213
84.5216,-2.8648,3.2179,1.8859
84.4974,-2.5101,3.2362,1.8493
84.4708,-2.1548,3.2514,1.8141
84.4455,-1.7999,3.2603,1.7843
84.4362,-1.6500,3.2619,1.7747
84.4254,-1.4461,3.2612,1.7640
84.4116,-1.0938,3.2558,1.7549
84.4031,-0.7427,3.2434,1.7536
84.3988,-0.3926,3.2264,1.7575
84.3978,-0.0433,3.2055,1.7647
84.3989,0.3056,3.1912,1.7730
84.4012,0.6542,3.1799,1.7809
84.4035,1.0028,3.1724,1.7879
84.4047,1.2959,3.1680,1.7920
84.4048,1.3516,3.1673,1.7926
84.4044,1.7008,3.1650,1.7946
84.4025,2.0503,3.1652,1.7945
84.3993,2.4002,3.1675,1.7923
84.3952,2.7503,3.1718,1.7883
84.3903,3.1005,3.1773,1.7830
84.3851,3.4508,3.1837,1.7768
84.3797,3.8012,3.1908,1.7699
84.3745,4.1515,3.1979,1.7627
84.3732,4.2418,3.1998,1.7609
84.3696,4.5017,3.2049,1.7557
84.3652,4.8519,3.2116,1.7489
84.3612,5.2019,3.2181,1.7424
84.3574,5.5519,3.2242,1.7361
84.3539,5.9018,3.2301,1.7302
84.3505,6.2517,3.2356,1.7247
84.3472,6.6016,3.2407,1.7194
84.3439,6.9515,3.2456,1.7145
84.3416,7.1877,3.2485,1.7115
84.3405,7.3014,3.2500,1.7101
84.3370,7.6513,3.2539,1.7060
84.3334,8.0013,3.2574,1.7025
84.3297,8.3512,3.2602,1.7003
84.3259,8.7012,3.2621,1.7026
84.3220,9.0512,3.2635,1.7071
84.3182,9.4012,3.2642,1.7123
84.3143,9.7512,3.2640,1.7184
84.3105,10.1012,3.2634,1.7250
84.3101,10.1336,3.2633,1.7257
84.3067,10.4512,3.2623,1.7321
