# x_m, y_m, w_tr_right_m, w_tr_left_m
-30.0000,-15.0000,2.5000,2.5000
-29.0000,-15.0000,2.5000,2.5000
-28.0000,-15.0000,2.5000,2.5000
-27.0000,-15.0000,2.5000,2.5000
-26.0000,-15.0000,2.5000,2.5000
-25.0000,-15.0000,2.5000,2.5000
-24.0000,-15.0000,2.5000,2.5000
-23.0000,-15.0000,2.5000,2.5000
-22.0000,-15.0000,2.5000,2.5000
-21.0000,-15.0000,2.5000,2.5000
-20.0000,-15.0000,2.5000,2.5000
-19.0000,-15.0000,2.5000,2.5000
-18.0000,-15.0000,2.5000,2.5000
-17.0000,-15.0000,2.5000,2.5000
-16.0000,-15.0000,2.5000,2.5000
-15.0000,-15.0000,2.5000,2.5000
-14.0000,-15.0000,2.5000,2.5000
-13.0000,-15.0000,2.5000,2.5000
-12.0000,-15.0000,2.5000,2.5000
-11.0000,-15.0000,2.5000,2.5000
-10.0000,-15.0000,2.5000,2.5000
-9.0000,-15.0000,2.5000,2.5000
-8.0000,-15.0000,2.5000,2.5000
-7.0000,-15.0000,2.5000,2.5000
-6.0000,-15.0000,2.5000,2.5000
-5.0000,-15.0000,2.5000,2.5000
-4.0000,-15.0000,2.5000,2.5000
-3.0000,-15.0000,2.5000,2.5000
-2.0000,-15.0000,2.5000,2.5000
-1.0000,-15.0000,2.5000,2.5000
0.0000,-15.0000,2.5000,2.5000
1.0000,-15.0000,2.5000,2.5000
2.0000,-15.0000,2.5000,2.5000
3.0000,-15.0000,2.5000,2.5000
4.0000,-15.0000,2.5000,2.5000
5.0000,-15.0000,2.5000,2.5000
6.0000,-15.0000,2.5000,2.5000
7.0000,-15.0000,2.5000,2.5000
8.0000,-15.0000,2.5000,2.5000
9.0000,-15.0000,2.5000,2.5000
10.0000,-15.0000,2.5000,2.5000
11.0000,-15.0000,2.5000,2.5000
12.0000,-15.0000,2.5000,2.5000
13.0000,-15.0000,2.5000,2.5000
14.0000,-15.0000,2.5000,2.5000
15.0000,-15.0000,2.5000,2.5000
16.0000,-15.0000,2.5000,2.5000
17.0000,-15.0000,2.5000,2.5000
18.0000,-15.0000,2.5000,2.5000
19.0000,-15.0000,2.5000,2.5000
20.0000,-15.0000,2.5000,2.5000
21.0000,-15.0000,2.5000,2.5000
22.0000,-15.0000,2.5000,2.5000
23.0000,-15.0000,2.5000,2.5000
24.0000,-15.0000,2.5000,2.5000
25.0000,-15.0000,2.5000,2.5000
26.0000,-15.0000,2.5000,2.5000
27.0000,-15.0000,2.5000,2.5000
28.0000,-15.0000,2.5000,2.5000
29.0000,-15.0000,2.5000,2.5000
30.0000,-15.0000,2.5000,2.5000
31.0019,-14.9665,2.5000,2.5000
31.9993,-14.8662,2.5000,2.5000
32.9878,-14.6994,2.5000,2.5000
33.9629,-14.4670,2.5000,2.5000
34.9204,-14.1700,2.5000,2.5000
35.8558,-13.8097,2.5000,2.5000
36.7652,-13.3878,2.5000,2.5000
37.6442,-12.9060,2.5000,2.5000
